#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct
ALL-CHORISMATE-PWY	"Super-Pathways;"	"superpathway of chorismate metabolism;"	1.1.1.25+1.14.14.-+1.5.1.3+2.1.1.-+2.1.1.163+2.1.2.2+2.4.2.18+2.5.1.15+2.5.1.19+2.5.1.39+2.5.1.54+2.5.1.74+2.6.1.57+2.7.1.71+2.7.6.3+3.1.2.-+3.5.4.16+3.5.4.9+3.6.1.-+4.1.1.48+4.1.3.27+4.2.1.10+4.2.1.20+4.2.1.51+4.2.3.4+4.2.3.5+5.3.1.24+5.4.99.5+6.2.1.26+6.3.2.12	44	30	99	0.54
HSERMETANA-PWY	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"L-methionine biosynthesis III;"	2.1.1.13+2.1.1.14	2	2	11	0.06
PWY-4983	"ARGININE-DEG; ARGININE-SYN; Nitric-Oxide-Biosynthesis;"	"nitric oxide biosynthesis II (mammals);"	1.14.13.39+4.3.2.1+6.3.4.5	3	3	11	0.06
PWY-5078	"ISOLEUCINE-DEG;"	"L-isoleucine degradation II;"	1.1.1.1+2.6.1.42	3	2	12	0.07
PWY-5477	"GALLOTANNINS;"	"gallotannin biosynthesis;"	2.3.1.-	1	1	13	0.07
PWY-6163	"Chorismate-Biosynthesis;"	"chorismate biosynthesis from 3-dehydroquinate;"	1.1.1.25+2.5.1.19+2.7.1.71+4.2.1.10+4.2.3.5	6	5	14	0.08
PWY0-541	"Cyclopropane-fatty-acid-biosyn;"	"cyclopropane fatty acid (CFA) biosynthesis;"	2.1.1.79	1	1	2	0.01
PWY0-1337	"Fatty-Acid-Degradation;"	"oleate &beta;-oxidation;"	3.1.2.-	1	1	3	0.02
ASPARTATE-DEG1-PWY	"ASPARTATE-DEG;"	"L-aspartate degradation I;"	2.6.1.1	1	1	11	0.06
RIBOKIN-PWY	"Sugars-And-Polysaccharides-Degradation;"	"ribose phosphorylation;"	2.7.1.15+5.4.99.-	2	2	7	0.04
PWY-5377	"TRITERPENOID-SYN;"	"&alpha;-amyrin biosynthesis;"	5.4.99.-	1	1	5	0.03
ARGSYNBSUB-PWY	"ARGININE-SYN;"	"L-arginine biosynthesis II (acetyl cycle);"	1.2.1.38+2.1.3.3+2.3.1.1+2.3.1.35+2.6.1.11+2.7.2.8+4.3.2.1+6.3.4.5+6.3.5.5	9	9	32	0.18
PWY-5853	"Demethylmenaquinol-6-Biosynthesis;"	"demethylmenaquinol-6 biosynthesis I;"	2.5.1.74	1	1	1	0.01
PWY-6085	"Chloroaromatic-Compounds-Degradation;"	"2,4-dichlorophenoxyacetate degradation;"	1.14.11.-	2	1	1	0.01
PWY-5756	"TRITERPENOID-SYN;"	"saponin biosynthesis II;"	2.4.1.-	2	1	12	0.07
PWY-5849	"Menaquinone-Biosynthesis;"	"menaquinol-6 biosynthesis;"	2.1.1.163	1	1	4	0.02
PWY-6054	"Dimethylsulfoniopropionate-Biosynthesis;"	"dimethylsulfoniopropanoate biosynthesis I (Wollastonia);"	1.2.1.3	2	1	1	0.01
PWY-6123	"IMP-Biosynthesis;"	"inosine-5'-phosphate biosynthesis I;"	2.1.2.3+3.5.4.10+4.3.2.2+6.3.2.6+6.3.4.18	6	5	13	0.07
PWY-6019	"Purine-Degradation;"	"pseudouridine degradation;"	2.7.1.83+3.2.-.-	2	2	2	0.01
PWY-102	"GIBBERELLINS-DEGRADATION; Gibberellin-Inactivation; Metabolic-Clusters;"	"gibberellin inactivation I (2&beta;-hydroxylation);"	1.14.11.-	2	1	1	0.01
PWY-5035	"GIBBERELLINS-BIOSYNTHESIS;"	"gibberellin biosynthesis III (early C-13 hydroxylation);"	1.14.11.-	3	1	1	0.01
PWY-1581	"Plastoquinone-Biosynthesis;"	"plastoquinol-9 biosynthesis I;"	2.1.1.-	2	1	26	0.14
PWY-6461	"Peptidoglycan-Cross-Bridge-Biosynthesis;"	"peptidoglycan cross-bridge biosynthesis II (E. faecium);"	6.3.1.-	2	1	2	0.01
CARNMET-PWY	"CARN-DEG;"	"L-carnitine degradation I;"	1.3.99.-+2.8.3.-+4.2.1.-+6.2.1.-	4	4	9	0.05
PWYQT-4475	"GLUCOSINOLATE-SYN;"	"glucosinolate biosynthesis from hexahomomethionine;"	1.14.13.-+2.6.1.-	4	2	8	0.04
NONOXIPENT-PWY	"Pentose-Phosphate-Cycle;"	"pentose phosphate pathway (non-oxidative branch);"	2.2.1.2+5.1.3.1+5.3.1.6	4	3	5	0.03
PWY-6135	""	""	3.6.3.-	1	1	44	0.24
P481-PWY	"Other-Degradation;"	"adamantanone degradation;"	1.14.-.-	1	1	3	0.02
UDPNAGSYN-PWY	"UDP-NAc-Glucosamine-Biosynthesis;"	"UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;"	2.3.1.157+2.6.1.16+2.7.7.23+5.4.2.10	4	4	9	0.05
PWY-6197	"Chloroaromatic-Compounds-Degradation;"	"chlorinated phenols degradation;"	1.14.13.-	1	1	5	0.03
PWY-5963	"Cofactor-Biosynthesis;"	"thio-molybdenum cofactor biosynthesis;"	2.8.1.-	1	1	2	0.01
PWY-2361	"CARBOXYLATES-DEG;"	"3-oxoadipate degradation;"	2.8.3.6	2	1	2	0.01
PYRUVDEHYD-PWY	"Acetyl-CoA-Biosynthesis; CARBOXYLATES-DEG;"	"pyruvate decarboxylation to acetyl CoA;"	1.2.4.1+1.8.1.4+2.3.1.12	3	3	12	0.07
PWY-5537	"Pyruvate-Acetate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate V;"	1.2.1.-+6.2.1.5	2	2	7	0.04
PWY-5783	"Polyprenyl-Biosynthesis;"	"octaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	6	0.03
PWY-112	"TRITERPENOID-SYN;"	"lupeol biosynthesis;"	5.4.99.-	1	1	5	0.03
PWY0-662	"Sugar-Phosphate-Biosynthesis;"	"PRPP biosynthesis;"	2.7.6.1	1	1	2	0.01
PWY-46	"Putrescine-Biosynthesis;"	"putrescine biosynthesis III;"	4.1.1.17	1	1	1	0.01
PWY-4421	"PHENYLPROPANOID-SYN; POLYKETIDE-SYN;"	"curcumin glucoside biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-6213	""	""	3.6.3.3	1	1	8	0.04
PWY1-3	"Storage-Compounds-Biosynthesis;"	"polyhydroxybutanoate biosynthesis;"	1.1.1.36+2.3.1.-+2.3.1.9	3	3	17	0.09
P381-PWY	"De-Novo-Adenosylcobalamin-Biosynthesis; Super-Pathways;"	"adenosylcobalamin biosynthesis II (aerobic);"	1.3.1.54+2.1.1.107+2.1.1.130+2.1.1.131+2.1.1.132+2.1.1.133+2.4.2.21+2.5.1.17+2.7.8.26+6.3.1.10+6.3.5.10+6.3.5.9+6.6.1.2	20	13	30	0.16
GLYCLEAV-PWY	"GLYCINE-DEG;"	"glycine cleavage;"	1.4.4.2+1.8.1.4+2.1.2.10	3	3	14	0.08
PWY-5350	"Thiosulfate-Disproportionation;"	"thiosulfate disproportionation IV (rhodanese);"	2.8.1.1	1	1	3	0.02
PWY-1042	"GLYCOLYSIS-VARIANTS;"	"glycolysis IV (plant cytosol);"	1.2.1.12+2.7.1.11+2.7.1.40+2.7.2.3+4.1.2.13+4.2.1.11+5.3.1.1	10	7	26	0.14
DENITRIFICATION-PWY	"ANAEROBIC-RESPIRATION; Denitrification; Nitrate-Reduction;"	"nitrate reduction I (denitrification);"	1.7.2.1+1.7.99.4	4	2	2	0.01
PWY-0	"Putrescine-Degradation;"	"putrescine degradation III;"	1.2.1.3+3.5.1.-	4	2	9	0.05
THRESYN-PWY	"Super-Pathways; THREONINE-BIOSYNTHESIS;"	"superpathway of L-threonine biosynthesis;"	1.1.1.3+1.2.1.11+2.6.1.1+2.7.1.39+2.7.2.4+4.2.3.1	6	6	26	0.14
PWY-6389	"Acetoin-Biosynthesis;"	"pyruvate fermentation to (<i>S</i>)-acetoin;"	1.1.1.304+2.2.1.6	2	2	10	0.05
PWY-5668	"Cardiolipin-Biosynthesis;"	"cardiolipin biosynthesis I;"	2.7.8.-+2.7.8.5+3.1.3.27	3	3	10	0.05
LPSSYN-PWY	"Lipid-Biosynthesis; Super-Pathways;"	"superpathway of lipopolysaccharide biosynthesis;"	2.-.-.-+2.3.1.-+2.3.1.129+2.3.1.191+2.4.-.-+2.4.1.182+2.4.1.58+2.4.99.12+2.5.1.55+2.7.1.-+2.7.1.130+2.7.7.38+3.5.1.108+5.3.1.13	18	14	54	0.30
GLUCOSE1PMETAB-PWY	"Sugars-And-Polysaccharides-Degradation;"	"glucose and glucose-1-phosphate degradation;"	2.7.1.2+3.1.3.10+5.4.2.2	6	3	10	0.05
PWY-4221	"CoA-Biosynthesis; Super-Pathways;"	"superpathway of coenzyme A biosynthesis II (plants);"	2.1.2.11+2.7.1.24+2.7.1.33+3.1.2.4+4.1.1.36+6.3.2.1+6.3.2.5	14	7	16	0.09
PWY-6473	"4-Aminobutyraye-Degradation;"	"4-aminobutanoate degradation IV;"	2.6.1.-	2	1	3	0.02
PWY-5507	"De-Novo-Adenosylcobalamin-Biosynthesis; Super-Pathways;"	"adenosylcobalamin biosynthesis I (anaerobic);"	2.1.1.-+2.1.1.107+2.1.1.131+2.1.1.133+2.4.2.21+2.5.1.17+2.7.8.26+6.3.1.10+6.3.5.10	14	9	44	0.24
GLUAMCAT-PWY	"N-Acetylglucosamine-Degradation;"	"<i>N</i>-acetylglucosamine degradation I;"	3.5.1.25	2	1	2	0.01
PWY-6470	"Antibiotic-Resistance; Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis V (&beta;-lactam resistance);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.13+5.1.1.3+6.3.2.10+6.3.2.4+6.3.2.8+6.3.2.9	14	9	51	0.28
PWY-5697	"Allantoin-degradation;"	"allantoin degradation to ureidoglycolate I (urea producing);"	3.5.2.5	2	1	1	0.01
PWY-5913	"TCA-VARIANTS;"	"partial TCA cycle (obligate autotrophs);"	1.1.1.42+1.3.5.1+2.3.3.1+2.6.1.1+4.2.1.2+4.2.1.3+6.2.1.5	10	7	32	0.18
PWY-6577	"All-Trans-Farnesyl-PP-Biosynthesis; Detoxification;"	"farnesylcysteine salvage pathway;"	1.1.1.-+2.7.1.-	4	2	22	0.12
PWY-6545	"Metabolic-Clusters; Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;"	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III;"	1.17.4.1+2.1.1.148+2.7.4.6+2.7.4.9+3.5.4.13+3.6.1.23	7	6	39	0.21
MANNIDEG-PWY	"SUGAR-ALCOHOLS-DEG;"	"mannitol degradation I;"	1.1.1.17	1	1	1	0.01
P125-PWY	"Butanediol-Biosynthesis; Super-Pathways;"	"superpathway of (<i>R,R</i>)-butanediol biosynthesis;"	2.2.1.6+4.1.1.5	4	2	10	0.05
PWY-6544	"Super-Pathways;"	"superpathway of C28 brassinosteroid biosynthesis;"	1.14.-.-+1.14.13.-+1.3.99.-	6	3	10	0.05
PWY-5134	"Metabolic-Clusters; Super-Pathways; TERPENOPHENOLICS-SYN;"	"superpathway of bitter acids biosynthesis;"	2.5.1.-	2	1	6	0.03
PWY-4381	"Fatty-acid-biosynthesis;"	"fatty acid biosynthesis initiation I;"	2.3.1.180+2.3.1.39+6.4.1.2	3	3	4	0.02
PWY-4984	"NITROGEN-DEG;"	"urea cycle;"	2.1.3.3+4.3.2.1+6.3.4.5	5	3	11	0.06
PWY-5508	""	""	2.4.2.21+2.5.1.17+2.7.8.26+6.3.1.10+6.3.5.10	9	5	7	0.04
ANAEROFRUCAT-PWY	"Fermentation-to-Lactate; Super-Pathways;"	"homolactic fermentation;"	1.1.1.27+1.2.1.12+2.7.1.11+2.7.1.2+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	13	12	40	0.22
PWY-1281	"Sulfoacetaldehyde-Degradation;"	"sulfoacetaldehyde degradation I;"	2.3.1.8	2	1	1	0.01
PWY-1061	"PRIMARY-CELL-WALL; Polysaccharides-Biosynthesis;"	"homogalacturonan biosynthesis;"	2.1.1.-	2	1	26	0.14
ANARESP1-PWY	""	""	1.1.1.42+1.2.1.-+2.3.1.54+2.3.3.1+2.7.1.40+4.2.1.11+4.2.1.2+4.2.1.3	11	8	35	0.19
PWY-6526	"Limonene-Degradation;"	"limonene degradation III (to perillate);"	1.14.13.-	2	1	5	0.03
FUC-RHAMCAT-PWY	"Super-Pathways;"	"superpathway of fucose and rhamnose degradation;"	1.2.1.22+2.7.1.5+4.1.2.19	8	3	5	0.03
P21-PWY	"Pentose-Phosphate-Cycle;"	"pentose phosphate pathway (partial);"	5.1.3.1	2	1	1	0.01
GLUTAMINEFUM-PWY	"GLUTAMINE-DEG;"	"L-glutamine degradation II;"	1.4.1.13	1	1	13	0.07
PWY-5939	"Acetoin-Biosynthesis;"	"pyruvate fermentation to (<i>R</i>)-acetoin II;"	2.2.1.6+4.1.1.5	2	2	10	0.05
PWY-3162	"TRYPTOPHAN-DEG;"	"L-tryptophan degradation V (side chain pathway);"	1.1.1.1+1.2.1.5	4	2	10	0.05
PWY-6269	"B12-Salvage-From-Cobinamide; Super-Pathways;"	"superpathway of adenosylcobalamin salvage from cobinamide II;"	2.4.2.21+2.5.1.17+2.7.8.26+6.3.1.10	7	4	6	0.03
PWY-5870	"Ubiquinone-Biosynthesis;"	"ubiquinol-8 biosynthesis (eukaryotic);"	1.14.14.-+2.1.1.-+2.5.1.39	5	3	28	0.15
PWY-2501	"Fatty-Acid-Degradation;"	"fatty acid &alpha;-oxidation I;"	1.2.1.3	2	1	1	0.01
PWY0-1298	"Pyrimidine-Degradation; Super-Pathways;"	"superpathway of pyrimidine deoxyribonucleosides degradation;"	1.2.1.10+4.1.2.4+5.4.2.7	5	3	6	0.03
PWY0-1261	"Anhydromuropeptides-Recycling;"	"anhydromuropeptides recycling I;"	2.7.1.-+4.2.-.-	2	2	11	0.06
PWY0-1347	"ANAEROBIC-RESPIRATION; Electron-Transfer;"	"NADH to trimethylamine <i>N</i>-oxide electron transfer;"	1.7.2.3	2	1	3	0.02
GAMMAHEXCHLORDEG-PWY	"CHLORINATED-COMPOUNDS-DEG;"	"&gamma;-hexachlorocyclohexane degradation;"	1.1.-.-	4	1	6	0.03
PWY-6413	"TERPENOID-DEG;"	"ginsenoside degradation III;"	2.3.1.-	1	1	13	0.07
PWY-724	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II;"	1.1.1.3+1.2.1.11+2.1.1.10+2.1.1.14+2.5.1.-+2.7.1.39+2.7.2.4+4.1.1.20+4.2.3.1+5.1.1.7	14	10	29	0.16
PWY-5271	"Abscisic-Acid-Degradation;"	"abscisic acid degradation to phaseic acid;"	1.-.-.-	2	1	31	0.17
PWY-6549	"GLUTAMINE-SYN;"	"L-glutamine biosynthesis III;"	1.1.1.41+1.1.1.42+1.4.7.1+2.3.3.1+2.7.9.1+4.2.1.3+6.3.1.2	8	7	20	0.11
PWY-5398	"APOCAROTENOID-SYN;"	"crocetin esters biosynthesis;"	2.4.1.-	1	1	12	0.07
TYRSYN	"TYROSINE-SYN;"	"L-tyrosine biosynthesis I;"	2.6.1.57+5.4.99.5	3	2	3	0.02
PWY0-301	"Ascorbate-Degradation;"	"L-ascorbate degradation I (bacterial, anaerobic);"	3.1.1.-+5.1.3.4	4	2	4	0.02
PWY-6174	"Mevalonate-Pathways;"	"mevalonate pathway II (archaea);"	1.1.1.34+2.3.1.9+2.3.3.10+5.3.3.2	5	4	6	0.03
PWY-702	"Methionine-De-novo-Biosynthesis;"	"L-methionine biosynthesis II (plants);"	2.1.1.10+2.1.1.14+2.5.1.-+2.7.1.39	5	4	13	0.07
PWY-5972	"Stearate-Biosynthesis;"	"stearate biosynthesis I (animals and fungi);"	1.1.1.-+1.3.1.-+2.3.1.-+4.2.1.59	6	4	40	0.22
PWY-5139	"ANTHOCYANIN-SYN;"	"pelargonidin conjugates biosynthesis;"	2.3.1.-+2.4.1.-	4	2	25	0.14
PWY-5659	"GDP-Sugar-Biosynthesis;"	"GDP-mannose biosynthesis;"	2.7.7.13+5.3.1.8+5.3.1.9+5.4.2.8	4	4	14	0.08
PWY-1861	"Formaldehyde-Assimilation;"	"formaldehyde assimilation II (assimilatory RuMP Cycle);"	2.2.1.2+2.7.1.11+4.1.2.13+5.1.3.1+5.3.1.6	8	5	10	0.05
PWY-5864	"Plastoquinone-Biosynthesis; Super-Pathways;"	"superpathway of plastoquinol biosynthesis;"	2.1.1.-+2.5.1.-	4	2	32	0.18
PWY-6005	"TRITERPENOID-SYN;"	"marneral biosynthesis;"	5.4.99.-	1	1	5	0.03
PWY-6419	"Shikimate-Degradation;"	"shikimate degradation II;"	1.1.1.-	2	1	12	0.07
PWY-3022	"CYANOGENIC-GLUCOSIDE-SYN;"	"linamarin biosynthesis;"	1.14.13.-	2	1	5	0.03
SUCROSEUTIL2-PWY	"SUCROSE-DEG;"	"sucrose degradation VII (sucrose 3-dehydrogenase);"	1.1.1.-+3.2.1.-	3	2	16	0.09
CYSTEINE-DEG-PWY	"CYSTEINE-DEG;"	"L-cysteine degradation I;"	2.6.1.1	2	1	11	0.06
PWY-5436	"THREONINE-DEG;"	"L-threonine degradation IV;"	1.2.1.10	2	1	2	0.01
PWY-6007	"DMNT-Biosynthesis;"	"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II;"	4.2.1.-	1	1	2	0.01
PWY-5893	"Polyprenyl-Biosynthesis;"	"tridecaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	6	0.03
PWY-6404	"Cell-Wall-Biosynthesis; Super-Pathways;"	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;"	1.1.1.133+2.3.1.-+2.3.1.157+2.4.1.-+2.5.1.-+2.6.1.16+2.7.6.1+2.7.7.23+3.6.1.-+4.2.1.46+5.1.3.13+5.1.3.2+5.3.3.2+5.4.2.10+5.4.99.9	18	15	58	0.32
PWY0-501	"Lipoate-Biosynthesis;"	"lipoate biosynthesis and incorporation I;"	2.3.1.181+2.8.1.8	2	2	6	0.03
PWY-5480	"Pyruvate-Ethanol-Fermentation;"	"pyruvate fermentation to ethanol I;"	1.1.1.1+1.2.1.10+2.3.1.54	3	3	10	0.05
PANTOSYN-PWY	"CoA-Biosynthesis; Super-Pathways; Vitamin-Biosynthesis;"	"superpathway of coenzyme A biosynthesis I (bacteria);"	2.1.2.11+2.7.1.24+2.7.1.33+4.1.1.36+6.3.2.1+6.3.2.5	9	6	14	0.08
P121-PWY	"Adenine-Adenosine-Salvage;"	"adenine and adenosine salvage I;"	1.1.1.205+2.4.2.1+2.4.2.7+2.4.2.8+4.3.2.2+6.3.4.4	9	6	14	0.08
PWY-3981	"Beta-Alanine-Biosynthesis;"	"&beta;-alanine biosynthesis I;"	1.2.1.3	2	1	1	0.01
PWYQT-4471	"GLUCOSINOLATE-SYN;"	"glucosinolate biosynthesis from dihomomethionine;"	1.14.13.-+2.6.1.-	4	2	8	0.04
PWY-3661	"Glycine-Betaine-Degradation;"	"glycine betaine degradation I;"	2.1.2.1+4.3.1.17	5	2	8	0.04
PWY4FS-4	"PhosphatidylcholineBiosynthesis;"	"phosphatidylcholine biosynthesis IV;"	2.7.7.-+2.7.8.-	4	2	76	0.42
PWY-5965	"Fatty-acid-biosynthesis;"	"fatty acid biosynthesis initiation III;"	2.3.1.-+2.3.1.41	2	2	17	0.09
PWY-6397	"Cell-Wall-Biosynthesis;"	"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;"	2.3.1.-+2.4.1.-+5.1.3.2+5.4.99.9	4	4	28	0.15
PWY0-1182	"Trehalose-Degradation;"	"trehalose degradation II (cytosolic);"	2.7.1.2	2	1	2	0.01
PWY-6166	""	""	3.6.3.-	1	1	44	0.24
PWY-6147	"6-HM-Dihydropterin-PP-Biosynthesis;"	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I;"	2.7.6.3+3.5.4.16+3.6.1.-	4	3	7	0.04
GLYCOLYSIS-TCA-GLYOX-BYPASS	"Energy-Metabolism; Super-Pathways;"	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass;"	1.1.1.42+1.2.1.-+1.2.1.12+1.3.5.1+2.3.3.1+2.7.1.11+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+4.2.1.2+4.2.1.3+5.3.1.1+5.3.1.9+6.2.1.5	22	17	62	0.34
PWY-84	"STILBENE-PHYTOALEXINS; STILBENE-SYN;"	"resveratrol biosynthesis;"	2.3.1.-	2	1	13	0.07
PWY-5380	"CYCLITOLS-DEG; SUGAR-DERIVS;"	"A series fagopyritols biosynthesis;"	2.4.1.-	1	1	12	0.07
PENTOSE-P-PWY	"Pentose-Phosphate-Cycle; Super-Pathways;"	"pentose phosphate pathway;"	1.1.1.49+2.2.1.2+3.1.1.31+5.1.3.1+5.3.1.6	7	5	13	0.07
PWY-5774	"TRITERPENOID-SYN;"	"saponin biosynthesis IV;"	2.4.1.-	1	1	12	0.07
DAPLYSINESYN-PWY	"LYSINE-SYN;"	"L-lysine biosynthesis I;"	1.2.1.11+2.3.1.117+2.7.2.4+3.5.1.18+4.1.1.20+5.1.1.7	9	6	16	0.09
PWY-5064	"Chlorophyll-a-Biosynthesis;"	"chlorophyll <i>a</i> biosynthesis II;"	1.3.1.-+2.5.1.-	2	2	20	0.11
PWY-6151	"S-adenosyl-L-methionine-cycle; Super-Pathways;"	"<i>S</i>-adenosyl-L-methionine cycle I;"	2.1.1.-+2.1.1.14+2.5.1.6+3.2.2.9	5	4	36	0.20
PWY-5845	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-9 biosynthesis;"	2.1.1.163+2.5.1.-+2.5.1.74+3.1.2.-+6.2.1.26	10	5	15	0.08
GLCMANNANAUT-PWY	"AMINE-DEG; Super-Pathways;"	"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation;"	3.5.1.25	5	1	2	0.01
PWY-5896	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-10 biosynthesis;"	2.1.1.163+2.5.1.-+2.5.1.74+3.1.2.-+6.2.1.26	10	5	15	0.08
OXIDATIVEPENT-PWY	"Pentose-Phosphate-Cycle;"	"pentose phosphate pathway (oxidative branch) I;"	1.1.1.49+3.1.1.31	3	2	8	0.04
GALACTITOLCAT-PWY	"SUGAR-ALCOHOLS-DEG;"	"galactitol degradation;"	1.1.1.-+2.7.1.144+4.1.2.40	3	3	17	0.09
PWY-6125	"Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II;"	1.1.1.205+1.17.4.1+2.7.4.6+6.3.5.2	7	4	38	0.21
TYRFUMCAT-PWY	"TYROSINE-DEG;"	"L-tyrosine degradation I;"	1.13.11.5	5	1	1	0.01
CYANCAT-PWY	"Detoxification; NITROGEN-DEG;"	"cyanate degradation;"	4.2.1.1	2	1	4	0.02
PWY-5265	"Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis II (staphylococci);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.13+3.4.16.4+5.1.1.3+6.3.2.10+6.3.2.4+6.3.2.8+6.3.2.9	15	10	59	0.32
HOMOSER-THRESYN-PWY	"THREONINE-BIOSYNTHESIS;"	"L-threonine biosynthesis;"	2.7.1.39+4.2.3.1	2	2	7	0.04
PWY-3481	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of L-phenylalanine and L-tyrosine biosynthesis;"	1.3.1.-+4.2.1.91+5.4.99.5	4	3	20	0.11
PWY-5343	"Glycan-Pathways; Oligosaccharides-Biosynthesis;"	"ajugose biosynthesis II (galactinol-independent);"	2.4.1.-	1	1	12	0.07
PWY-4341	"GLUTAMATE-SYN;"	"L-glutamate biosynthesis V;"	1.4.7.1	1	1	1	0.01
PWY-5270	"ISOQUINOLINE-ALKALOIDS;"	"morphine biosynthesis;"	1.1.1.218	8	1	1	0.01
PWY-5	"NON-PROTEIN-AMINO-ACID-SYN;"	"canavanine biosynthesis;"	2.1.3.3+4.3.2.1+6.3.4.5	3	3	11	0.06
PWY-5987	"QUINONE-SYN;"	"sorgoleone biosynthesis;"	1.-.-.-+2.1.1.-+2.3.1.-	4	3	70	0.38
PWY-5797	"Indole-3-Acetate-Inactivation;"	"indole-3-acetate inactivation VI;"	2.4.1.-	2	1	12	0.07
PWY-5154	"ARGININE-SYN;"	"L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline);"	1.2.1.38+2.3.1.1+2.6.1.11+2.7.2.8+3.5.1.16+4.3.2.1+6.3.4.5+6.3.5.5	9	8	33	0.18
PWY-5130	"2-Oxobutanoate-Degradation; Super-Pathways;"	"2-oxobutanoate degradation I;"	5.4.99.2+6.4.1.3	3	2	4	0.02
PWY-321	"EPIDERMAL-STRUCTURE; Lipid-Biosynthesis;"	"cutin biosynthesis;"	1.1.1.-+1.14.13.-+1.2.1.-	5	3	22	0.12
PWY-2941	"LYSINE-SYN;"	"L-lysine biosynthesis II;"	1.2.1.11+2.7.2.4+4.1.1.20+5.1.1.7	8	4	9	0.05
PWY-5076	"LEUCINE-DEG;"	"L-leucine degradation III;"	1.1.1.1+2.6.1.42	3	2	12	0.07
PANTO-PWY	"Pantothenate-Biosynthesis;"	"phosphopantothenate biosynthesis I;"	2.1.2.11+6.3.2.1	3	2	7	0.04
PWY-6310	"POLYKETIDE-SYN;"	"aloesone biosynthesis II;"	2.3.1.-	1	1	13	0.07
PWY-6129	"Lipid-Biosynthesis;"	"dolichol and dolichyl phosphate biosynthesis;"	2.5.1.-	2	1	6	0.03
PWY-5048	"Rosmarinate-Biosynthesis;"	"rosmarinic acid biosynthesis I;"	1.1.1.-	2	1	12	0.07
PWY-6277	"AIR-Biosynthesis; Super-Pathways;"	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis;"	2.1.2.-+2.1.2.2+2.4.2.14+6.3.3.1+6.3.4.13+6.3.5.3	6	6	24	0.13
PWY-5476	"ELLAGITANNINS;"	"cornusiin E biosynthesis;"	1.10.3.-	1	1	12	0.07
PWY-6086	"Chloroaromatic-Compounds-Degradation;"	"4-chloro-2-methylphenoxyacetate degradation;"	1.14.11.-	2	1	1	0.01
PWY-5197	"Energy-Metabolism;"	"lactate biosynthesis (archaea);"	1.1.1.-+1.2.1.22	3	2	14	0.08
PWY-5108	"ISOLEUCINE-SYN;"	"L-isoleucine biosynthesis V;"	2.6.1.42	1	1	3	0.02
ASPARTATESYN-PWY	"ASPARTATE-SYN;"	"L-aspartate biosynthesis;"	2.6.1.1	1	1	11	0.06
PWY-5491	"Phosphorus-Compounds;"	"diethylphosphate degradation;"	3.1.3.-	2	1	5	0.03
PWY-6519	"7-Keto-8-aminopelargonate-Biosynthesis;"	"8-amino-7-oxononanoate biosynthesis I;"	1.1.1.100+2.1.1.-+2.3.1.180+2.3.1.41+2.3.1.47+3.1.1.-+4.2.1.59	8	7	37	0.20
THISYN-PWY	"Super-Pathways; Thiamine-Biosynthesis;"	"superpathway of thiamine diphosphate biosynthesis I;"	2.2.1.7+2.5.1.3+2.7.1.49+2.7.4.16+2.7.7.-	8	5	82	0.45
PWY-3821	"Detoxification;"	"D-galactose detoxification;"	1.1.1.22+2.7.1.6+2.7.7.9+5.1.3.2	6	4	10	0.05
